year,variableA,variableB,variableC,variableD,variableE,variableF
2017-01-23,46,37,52.29238,39.70762,43.29238,30.70762
2017-01-24,46,37,52.29238,39.70762,43.29238,30.70762
2017-01-25,48.61617,41.35324,53.80425,43.42808,46.54132,36.16516
2017-01-26,44.62692,41.1728,49.31432,39.93952,45.8602,36.4854
2017-01-27,44.38777,41.58635,49.09824,39.6773,46.29682,36.87588
2017-01-28,44.38777,41.58635,49.09824,39.6773,46.29682,36.87588
2017-01-29,44.74559,41.74476,49.4796,40.01159,46.47876,37.01076
2017-01-30,44.67257,42.0221,49.38835,39.95678,46.73788,37.30631
2017-01-31,45.01149,43.20672,49.6689,40.35407,47.86413,38.5493
2017-02-01,45.86395,44.44283,50.5223,41.2056,49.10118,39.78447
2017-02-02,45.88868,44.48,50.53785,41.23951,49.12917,39.83083
2017-02-03,46.21463,44.72782,50.90343,41.52583,49.41662,40.03902
2017-02-04,46.21463,44.72782,50.90343,41.52583,49.41662,40.03902
2017-02-05,46.77325,45.41658,51.44566,42.10085,50.08898,40.74417
2017-02-06,46.66296,45.71693,51.29055,42.03538,50.34452,41.08935
2017-02-07,46.92523,47.53691,51.52148,42.32898,52.13317,42.94066
2017-02-08,46.69795,47.94511,51.23309,42.16281,52.48025,43.40998
2017-02-09,46.23419,48.68385,50.80249,41.66589,53.25216,44.11555
2017-02-10,46.21808,48.71865,50.77919,41.65697,53.27976,44.15754
2017-02-11,46.31055,48.61903,50.92749,41.69361,53.23597,44.00209
2017-02-12,46.31055,48.61903,50.92749,41.69361,53.23597,44.00209
2017-02-13,45.41359,49.86423,49.90409,40.92309,54.35473,45.37373
2017-02-14,46.16746,49.73203,50.76975,41.56517,54.36329,45.10077
2017-02-15,46.32353,49.7077,50.96176,41.6853,54.38807,45.02732
2017-02-16,46.53775,49.53732,51.25437,41.82114,54.24575,44.82889
2017-02-17,46.66242,49.45398,51.43516,41.88968,54.19453,44.71342
2017-02-18,46.48179,49.83215,51.23529,41.72828,54.65438,45.00993
2017-02-19,46.48179,49.83215,51.23529,41.72828,54.65438,45.00993
2017-02-20,45.56286,49.19039,50.41407,40.71165,53.98789,44.39288
2017-02-21,45.53262,49.28985,50.36337,40.70187,54.07336,44.50635
2017-02-22,44.294,50.37005,49.44938,39.13863,55.35322,45.38689
2017-02-23,44.84227,49.52387,49.9486,39.73595,54.37848,44.66925
2017-02-24,44.86759,49.60043,49.97301,39.76218,54.46981,44.73105
2017-02-25,44.86759,49.60043,49.97301,39.76218,54.46981,44.73105
2017-02-26,44.86759,49.60043,49.97301,39.76218,54.46981,44.73105
2017-02-27,44.77391,49.68867,49.93987,39.60795,54.59674,44.78059
2017-02-28,44.69143,49.79915,49.87772,39.50513,54.73494,44.86337
2017-03-01,45.15903,49.53156,50.19463,40.12343,54.37161,44.69152
2017-03-02,45.23322,49.77825,50.25408,40.21236,54.56505,44.99146
2017-03-03,45.63852,49.62764,50.65363,40.62341,54.40191,44.85337
2017-03-04,45.63852,49.62764,50.65363,40.62341,54.40191,44.85337
2017-03-05,45.63852,49.62764,50.65363,40.62341,54.40191,44.85337
2017-03-06,45.36596,48.83812,50.36006,40.37185,53.65353,44.02271
2017-03-07,45.46577,48.28428,50.29033,40.64122,53.04988,43.51868
2017-03-08,45.37472,48.55411,50.1804,40.56905,53.31239,43.79584
2017-03-09,45.35116,48.61091,50.14901,40.55331,53.3605,43.86132
2017-03-10,45.5193,48.62363,50.33577,40.70283,53.38221,43.86504
2017-03-11,45.73587,48.4897,50.55025,40.92148,53.1647,43.8147
2017-03-12,45.73587,48.4897,50.55025,40.92148,53.1647,43.8147
2017-03-13,45.58329,48.65232,50.42994,40.73663,53.42555,43.87909
2017-03-14,45.47269,49.06578,50.2247,40.72068,53.79823,44.33332
2017-03-15,44.59151,49.70044,49.29085,39.89216,54.3433,45.05758
2017-03-16,44.63105,49.73156,49.32425,39.93784,54.35492,45.1082
2017-03-17,44.47798,50.08054,49.07936,39.8766,54.69834,45.46274
2017-03-18,44.47798,50.08054,49.07936,39.8766,54.69834,45.46274
2017-03-19,44.47798,50.08054,49.07936,39.8766,54.69834,45.46274
2017-03-20,44.52505,50.08957,49.19572,39.85439,54.74471,45.43443
2017-03-21,44.61454,50.02016,49.35433,39.87475,54.68645,45.35387
2017-03-22,44.10851,50.6463,49.28387,38.93314,55.57218,45.72042
2017-03-23,44.11869,50.66172,49.32698,38.9104,55.60133,45.72211
2017-03-24,44.35612,50.58176,49.65315,39.05909,55.89857,45.26495
2017-03-25,44.35612,50.58176,49.65315,39.05909,55.89857,45.26495
2017-03-26,44.35612,50.58176,49.65315,39.05909,55.89857,45.26495
2017-03-27,44.28436,50.60625,49.65789,38.91082,55.98377,45.22873
2017-03-28,43.37658,51.31355,48.56889,38.18426,56.60413,46.02298
2017-03-29,43.23234,51.65588,48.12896,38.33572,56.73108,46.58068
2017-03-30,42.78091,51.80407,47.72739,37.83444,56.74441,46.86372
2017-03-31,41.77287,51.91686,46.84838,36.69736,56.71685,47.11687
2017-04-01,41.77287,51.91686,46.84838,36.69736,56.71685,47.11687
2017-04-02,41.77287,51.91686,46.84838,36.69736,56.71685,47.11687
2017-04-03,41.49263,52.28128,46.54613,36.43912,57.25156,47.311
2017-04-04,41.28366,52.73132,46.88392,35.6834,57.75137,47.71127
2017-04-05,41.72259,52.42102,47.24487,36.20031,57.31507,47.52696
2017-04-06,41.74047,52.44887,47.29905,36.1819,57.36218,47.53556
2017-04-07,41.51286,52.79503,46.80249,36.22323,57.599,47.99107
2017-04-08,41.51286,52.79503,46.80249,36.22323,57.599,47.99107
2017-04-09,41.51286,52.79503,46.80249,36.22323,57.599,47.99107
2017-04-10,41.39298,52.95179,46.71243,36.07354,57.82961,48.07397
2017-04-11,42.56668,51.78368,48.27353,36.85984,56.98209,46.58527
2017-04-12,42.83318,51.76783,48.376,37.29036,56.88817,46.64748
2017-04-13,42.90318,51.71242,48.45972,37.34663,56.7949,46.62994
2017-04-14,42.73984,50.934,48.22797,37.25171,55.76231,46.10569
2017-04-15,42.73984,50.934,48.22797,37.25171,55.76231,46.10569
2017-04-16,42.73984,50.934,48.22797,37.25171,55.76231,46.10569
2017-04-17,43.4188,50.35167,48.84432,37.99329,55.01369,45.68964
2017-04-18,43.50145,50.31609,48.9874,38.01551,54.99622,45.63595
2017-04-19,44.00313,50.52559,49.2343,38.77197,54.88184,46.16934
2017-04-20,44.05973,50.58625,49.1797,38.93976,55.20732,45.96517
2017-04-21,44.04811,50.56432,49.1926,38.90363,55.18794,45.9407
2017-04-22,44.04811,50.56432,49.1926,38.90363,55.18794,45.9407
2017-04-23,44.04811,50.56432,49.1926,38.90363,55.18794,45.9407
2017-04-24,44.23955,50.40123,49.54624,38.93287,55.07882,45.72365
2017-04-25,43.502,50.69404,48.45667,38.54732,55.25338,46.13471
2017-04-26,44.06063,50.11729,48.8275,39.29377,54.70171,45.53288
2017-04-27,43.94151,50.25742,48.69866,39.18437,54.9077,45.60715
2017-04-28,44.18594,50.13792,48.92052,39.45135,54.68615,45.58969
2017-04-29,44.18594,50.13792,48.92052,39.45135,54.68615,45.58969
2017-04-30,44.18594,50.13792,48.92052,39.45135,54.68615,45.58969
2017-05-01,44.12144,50.34044,48.82506,39.41782,54.91676,45.76411
2017-05-02,44.19493,50.27415,48.93872,39.45113,54.85132,45.69698
2017-05-03,44.34391,49.80513,48.90283,39.78498,54.46153,45.14873
2017-05-04,44.23395,49.99863,48.69094,39.77697,54.58596,45.4113
2017-05-05,44.06768,50.19212,48.48866,39.64671,54.87309,45.51114
2017-05-06,44.32235,50.10137,48.65945,39.98526,54.64916,45.55357
2017-05-07,44.32235,50.10137,48.65945,39.98526,54.64916,45.55357
2017-05-08,44.14452,50.20971,48.51689,39.77215,54.84586,45.57356
2017-05-09,44.17577,50.24742,48.55055,39.80099,54.92481,45.57002
2017-05-10,42.81641,51.53957,48.18433,37.44849,56.71715,46.36199
2017-05-11,42.88606,51.48355,48.32984,37.44228,56.67863,46.28847
2017-05-12,42.59069,51.74759,47.81786,37.36352,57.01383,46.48135
2017-05-13,42.59069,51.74759,47.81786,37.36352,57.01383,46.48135
2017-05-14,42.85477,51.5491,48.10534,37.6042,56.80383,46.29438
2017-05-15,42.67153,51.77419,47.97429,37.36876,57.15453,46.39384
2017-05-16,41.78514,52.59653,46.83479,36.73549,57.72076,47.4723
2017-05-17,41.0498,53.19755,46.06669,36.03291,58.11063,48.28447
2017-05-18,40.4189,53.61588,45.37959,35.4582,58.29942,48.93235
2017-05-19,39.62964,54.51856,44.39882,34.86047,59.25576,49.78135
2017-05-20,39.62964,54.51856,44.39882,34.86047,59.25576,49.78135
2017-05-21,39.62964,54.51856,44.39882,34.86047,59.25576,49.78135
2017-05-22,39.63826,54.53247,44.42299,34.85353,59.28426,49.78069
2017-05-23,40.24492,54.41688,45.08392,35.40591,59.00794,49.82582
2017-05-24,39.81437,54.01662,44.79591,34.83282,58.33023,49.70301
2017-05-25,39.91333,53.94802,44.96519,34.86146,58.26553,49.63052
2017-05-26,40.22279,53.76402,45.31712,35.12847,58.03189,49.49614
2017-05-27,40.15144,53.83537,45.1971,35.10577,58.08748,49.58326
2017-05-28,40.15144,53.83537,45.1971,35.10577,58.08748,49.58326
2017-05-29,40.06456,53.96847,45.12022,35.0089,58.23272,49.70422
2017-05-30,40.42588,53.90907,45.20613,35.64562,57.96503,49.85311
2017-05-31,40.34653,53.96354,45.0083,35.68476,58.0239,49.90319
